season,location,matchday_nr,home_team_id,home_team_name,home_team,away_team_id,away_team_name,away_team,goals_home,goals_away,draw,win_home,win_away,goals_total
2012,Hamburg,22,100,Hamburger SV,HSV,87,Borussia Mönchengladbach,Gladbach,1,0,0,1,0,1
2012,Dortmund,22,7,Borussia Dortmund,BVB,91,Eintracht Frankfurt,Frankfurt,3,0,0,1,0,3
2012,Nürnberg,22,79,1. FC Nürnberg,Nürnberg,55,Hannover 96,Hannover,2,2,1,0,0,4
2012,Sinsheim,22,175,TSG 1899 Hoffenheim,Hoffenheim,16,VfB Stuttgart,Stuttgart,0,1,0,0,1,1
2012,Freiburg,23,112,SC Freiburg,Freiburg,91,Eintracht Frankfurt,Frankfurt,0,0,1,0,0,0
2012,München,23,40,FC Bayern München,Bayern,134,Werder Bremen,Bremen,6,1,0,1,0,7
2012,Stuttgart,23,16,VfB Stuttgart,Stuttgart,79,1. FC Nürnberg,Nürnberg,1,1,1,0,0,2
2012,Augsburg,23,95,FC Augsburg,Augsburg,175,TSG 1899 Hoffenheim,Hoffenheim,2,1,0,1,0,3
2012,Hannover,23,55,Hannover 96,Hannover,100,Hamburger SV,HSV,5,1,0,1,0,6
2012,Mainz,23,81,1. FSV Mainz 05,Mainz,131,VfL Wolfsburg,Wolfsburg,1,1,1,0,0,2
2012,Gelsenkirchen,23,9,FC Schalke 04,Schalke,185,Fortuna Düsseldorf,Düsseldorf,2,1,0,1,0,3
2012,Gladbach,23,87,Borussia Mönchengladbach,Gladbach,7,Borussia Dortmund,BVB,1,1,1,0,0,2
2012,Fürth,23,115,SpVgg Greuther Fürth,Fürth,6,Bayer Leverkusen,Leverkusen,0,0,1,0,0,0
2012,Frankfurt,24,91,Eintracht Frankfurt,Frankfurt,87,Borussia Mönchengladbach,Gladbach,0,1,0,0,1,1
2012,Dortmund,24,7,Borussia Dortmund,BVB,55,Hannover 96,Hannover,3,1,0,1,0,4
2012,Wolfsburg,24,131,VfL Wolfsburg,Wolfsburg,9,FC Schalke 04,Schalke,1,4,0,0,1,5
2012,Bremen,24,134,Werder Bremen,Bremen,95,FC Augsburg,Augsburg,0,1,0,0,1,1
2012,Nürnberg,24,79,1. FC Nürnberg,Nürnberg,112,SC Freiburg,Freiburg,1,1,1,0,0,2
2012,Hamburg,24,100,Hamburger SV,HSV,115,SpVgg Greuther Fürth,Fürth,1,1,1,0,0,2
2012,Leverkusen,24,6,Bayer Leverkusen,Leverkusen,16,VfB Stuttgart,Stuttgart,2,1,0,1,0,3
2012,Sinsheim,24,175,TSG 1899 Hoffenheim,Hoffenheim,40,FC Bayern München,Bayern,0,1,0,0,1,1
2012,Düsseldorf,24,185,Fortuna Düsseldorf,Düsseldorf,81,1. FSV Mainz 05,Mainz,1,1,1,0,0,2
2012,Augsburg,25,95,FC Augsburg,Augsburg,79,1. FC Nürnberg,Nürnberg,1,2,0,0,1,3
2012,Mainz,25,81,1. FSV Mainz 05,Mainz,6,Bayer Leverkusen,Leverkusen,1,0,0,1,0,1
2012,Freiburg,25,112,SC Freiburg,Freiburg,131,VfL Wolfsburg,Wolfsburg,2,5,0,0,1,7
2012,Fürth,25,115,SpVgg Greuther Fürth,Fürth,175,TSG 1899 Hoffenheim,Hoffenheim,0,3,0,0,1,3
2012,Gelsenkirchen,25,9,FC Schalke 04,Schalke,7,Borussia Dortmund,BVB,2,1,0,1,0,3
2012,München,25,40,FC Bayern München,Bayern,185,Fortuna Düsseldorf,Düsseldorf,3,2,0,1,0,5
2012,Gladbach,25,87,Borussia Mönchengladbach,Gladbach,134,Werder Bremen,Bremen,1,1,1,0,0,2
2012,Hannover,25,55,Hannover 96,Hannover,91,Eintracht Frankfurt,Frankfurt,0,0,1,0,0,0
2012,Stuttgart,25,16,VfB Stuttgart,Stuttgart,100,Hamburger SV,HSV,0,1,0,0,1,1
2012,Wolfsburg,26,131,VfL Wolfsburg,Wolfsburg,185,Fortuna Düsseldorf,Düsseldorf,1,1,1,0,0,2
2012,Nürnberg,26,79,1. FC Nürnberg,Nürnberg,9,FC Schalke 04,Schalke,3,0,0,1,0,3
2012,Dortmund,26,7,Borussia Dortmund,BVB,112,SC Freiburg,Freiburg,5,1,0,1,0,6
2012,Sinsheim,26,175,TSG 1899 Hoffenheim,Hoffenheim,81,1. FSV Mainz 05,Mainz,0,0,1,0,0,0
2012,Hamburg,26,100,Hamburger SV,HSV,95,FC Augsburg,Augsburg,0,1,0,0,1,1
2012,Bremen,26,134,Werder Bremen,Bremen,115,SpVgg Greuther Fürth,Fürth,2,2,1,0,0,4
2012,Leverkusen,26,6,Bayer Leverkusen,Leverkusen,40,FC Bayern München,Bayern,1,2,0,0,1,3
2012,Frankfurt,26,91,Eintracht Frankfurt,Frankfurt,16,VfB Stuttgart,Stuttgart,1,2,0,0,1,3
2012,Gladbach,26,87,Borussia Mönchengladbach,Gladbach,55,Hannover 96,Hannover,1,0,0,1,0,1
2012,Stuttgart,27,16,VfB Stuttgart,Stuttgart,7,Borussia Dortmund,BVB,1,2,0,0,1,3
2012,Freiburg,27,112,SC Freiburg,Freiburg,87,Borussia Mönchengladbach,Gladbach,2,0,0,1,0,2
2012,Düsseldorf,27,185,Fortuna Düsseldorf,Düsseldorf,6,Bayer Leverkusen,Leverkusen,1,4,0,0,1,5
2012,Augsburg,27,95,FC Augsburg,Augsburg,55,Hannover 96,Hannover,0,2,0,0,1,2
2012,Mainz,27,81,1. FSV Mainz 05,Mainz,134,Werder Bremen,Bremen,1,1,1,0,0,2
2012,Gelsenkirchen,27,9,FC Schalke 04,Schalke,175,TSG 1899 Hoffenheim,Hoffenheim,3,0,0,1,0,3
2012,München,27,40,FC Bayern München,Bayern,100,Hamburger SV,HSV,9,2,0,1,0,11
2012,Wolfsburg,27,131,VfL Wolfsburg,Wolfsburg,79,1. FC Nürnberg,Nürnberg,2,2,1,0,0,4
2012,Fürth,27,115,SpVgg Greuther Fürth,Fürth,91,Eintracht Frankfurt,Frankfurt,2,3,0,0,1,5
